Author(s) | Year | Publication Title / Venue | Analytical Contribution
P. L. Chebyshev | 1848 | Journal de Mathématiques Pures et Appliquées | Introduces the logarithmic integral
P. L. Chebyshev | 1850 | Mémoires de l'Académie des Sciences de Saint-Pétersbourg | Establishes Chebyshev's functions
Bernhard Riemann | 1859 | Monatsberichte der Königlich Preußischen Akademie | The foundational paper
F. Mertens | 1874 | Journal für die reine und angewandte Mathematik | Proves Mertens' theorems
Richard Dedekind | 1877 | Vorlesungen über Zahlentheorie (Brunswick) | Generalizes the Riemann zeta function to algebraic number fields
Thomas Stieltjes | 1885 | Letter to Hermite / Correspondence | Claims a proof of the Riemann Hypothesis via the Mertens function
Jacques Hadamard | 1893 | Journal de Mathématiques Pures et Appliquées | Develops the theory of entire functions of finite order
Hans von Mangoldt | 1895 | Journal für die reine und angewandte Mathematik | Provides a rigorous proof of Riemann's explicit formula
Jacques Hadamard | 1896 | Annales Scientifiques de l'École Normale Supérieure | Independently proves the Prime Number Theorem
C. J. de la Vallée Poussin | 1896 | Annales de la Société Scientifique de Bruxelles | Independently proves the Prime Number Theorem
F. Mertens | 1897 | Sitzungsberichte der Kaiserlichen Akademie | Proves that the growth of the Mertens function implies the Riemann Hypothesis
C. J. de la Vallée Poussin | 1899 | Annales de la Société Scientifique de Bruxelles | Establishes the first explicit zero-free region
David Hilbert | 1900 | International Congress of Mathematicians, Paris | Introduces Problem 8
J. P. Gram | 1903 | Acta Mathematica | Conducts the first systematic computation of the zeros
Paul Epstein | 1903 | Mathematische Annalen | Introduces and analyzes the Epstein zeta function
Edmund Landau | 1906 | Mathematische Annalen | Proves the first general theorems on the distribution of the zeros
Ernst Lindelöf | 1908 | Bulletin des Sciences Mathématiques | Formulates the Lindelöf Hypothesis
Edmund Landau | 1909 | Handbuch der Verteilung der Primzahlen | The definitive foundational textbook
John E. Littlewood | 1912 | Comptes Rendus de l'Académie des Sciences | Shows that the Riemann Hypothesis implies the optimal bound
Harald Bohr | 1913 | Göttinger Nachrichten | Explores the connection between the value distribution of zeta and almost periodic functions
G. H. Hardy | 1914 | Comptes Rendus de l'Académie des Sciences | Proves that infinitely many zeros of the Riemann zeta function lie on the critical line
Harald Bohr and Edmund Landau | 1914 | Rendiconti del Circolo Matematico di Palermo | Proves the Bohr-Landau density theorem
R. J. Backlund | 1914 | Comptes Rendus de l'Académie des Sciences | Develops a precise zero-counting methodology
Harald Bohr and Richard Courant | 1914 | Journal für die reine und angewandte Mathematik | Applies Diophantine approximation
John E. Littlewood | 1914 | Journal of the London Mathematical Society | Proves that the difference changes sign infinitely many times
Hermann Weyl | 1916 | Mathematische Annalen | Introduces Weyl's criterion
Marcel Riesz | 1916 | Acta Mathematica | Formulates the Riesz criterion
Erich Hecke | 1917 | Göttinger Nachrichten | Proves the analytic continuation and functional equation of L-functions
R. J. Backlund | 1918 | Acta Mathematica | Establishes the exact formula for the zero-counting function
George Pólya | 1918 | Göttinger Nachrichten | Discovers the Pólya-Vinogradov inequality
G. H. Hardy and J. E. Littlewood | 1918 | Acta Mathematica | Establishes foundational estimates for the moments of zeta
Erich Hecke | 1920 | Mathematische Annalen | Introduces Hecke L-functions
G. H. Hardy and J. E. Littlewood | 1921 | Mathematische Zeitschrift | Establishes that a positive lower bound of the zeros
Harald Cramér | 1922 | Arkiv för Matematik, Astronomi och Fysik | Introduces probabilistic models to predict the micro-distribution of prime numbers
G. H. Hardy and J. E. Littlewood | 1923 | Acta Mathematica | Formulates the famous Hardy-Littlewood prime tuple conjectures
Emil Artin | 1924 | Mathematische Zeitschrift | Introduces the Riemann Hypothesis for zeta functions of curves over finite fields
John E. Littlewood | 1924 | Proceedings of the London Mathematical Society | Establishes sharp bounds for the growth of zeta
Guido Hoheisel | 1930 | Sitzungsberichte der Preußischen Akademie | Proves the first prime interval result
A. E. Ingham | 1932 | The Distribution of Prime Numbers (CUP) | Writes the classic monograph
Carl Ludwig Siegel | 1932 | Quellen und Studien zur Geschichte der Mathematik | Deciphers Riemann's Nachlass
Andreas Speiser | 1934 | Mathematische Annalen | Proves Speiser's theorem
E. C. Titchmarsh | 1935 | The Zeta-Function of Riemann (Cambridge Tract) | The first comprehensive monograph
Harald Cramér | 1936 | Acta Arithmetica | Proves that the Riemann Hypothesis implies the prime gap estimate
A. E. Ingham | 1937 | Quarterly Journal of Mathematics | Establishes a connection between the Lindelöf Hypothesis and the Density Hypothesis
A. E. Ingham | 1940 | Quarterly Journal of Mathematics | Formulates the Ingham density estimate
André Weil | 1940 | Proceedings of the National Academy of Sciences | Formulates and proves the Riemann Hypothesis for elliptic curves over finite fields
Atle Selberg | 1942 | Skrifter utgitt av Det Norske Videnskaps-Akademi | Proves that a positive proportion of the non-trivial zeros lie on the critical line
Atle Selberg | 1946 | Archiv for Mathematik og Naturvidenskab | Introduces Selberg's mollifier method
Paul Turán | 1948 | Dansk Videnskabernes Selskab | Develops the power sum method
André Weil | 1948 | Sur les Courbes Algébriques (Hermann) | Proves the Riemann Hypothesis for curves of arbitrary genus
Atle Selberg | 1949 | Annals of Mathematics | Introduces the elementary proof of the Prime Number Theorem
Bertil Nyman | 1950 | Ph.D. Thesis, University of Uppsala | Formulates the Nyman criterion
N. G. de Bruijn | 1950 | Duke Mathematical Journal | Introduces diffusion deformations of trigonometric integrals
E. C. Titchmarsh | 1951 | The Theory of the Riemann Zeta-Function (OUP) | The definitive reference work
Alan M. Turing | 1953 | Proceedings of the London Mathematical Society | Introduces Turing's Method
Paul Turán | 1953 | Eine neue Methode in der Analysis und deren Anwendungen | Expands the applicability of the power sum method
Arne Beurling | 1955 | Proceedings of the National Academy of Sciences | Proves the Beurling-Nyman theorem
Atle Selberg | 1956 | Journal of the Indian Mathematical Society | Introduces the Selberg Trace Formula
I. M. Vinogradov | 1958 | Izvestiya Akademii Nauk SSSR | Proves the Vinogradov-Korobov zero-free region
N. M. Korobov | 1958 | Doklady Akademii Nauk SSSR | Independently develops the exponential sum estimations
Enrico Bombieri | 1965 | Mathematika | Proves the Bombieri-Vinogradov Theorem
H. M. Stark | 1967 | Michigan Mathematical Journal | Solves the Gauss class number one problem
Alan Baker | 1967 | Philosophical Transactions of the Royal Society | Develops the theory of linear forms in logarithms
G. Halász and P. Turán | 1969 | Journal of Number Theory | Establishes the Halász-Turán zero density bounds
Enrico Bombieri | 1971 | Incontri del Seminario Matematico di Milano | Refines the large sieve inequalities
Hugh L. Montgomery | 1971 | Topics in Multiplicative Number Theory (Springer) | Introduces modern zero density methodologies
Hugh L. Montgomery | 1973 | Proceedings of Symposia in Pure Mathematics | Formulates the pair correlation conjecture
H. L. Montgomery and R. C. Vaughan | 1973 | Mathematika | Standardizes the analytical application of the large sieve
Norman Levinson | 1974 | Advances in Mathematics | Proves that at least one-third of the non-trivial zeros lie exactly on the critical line
Pierre Deligne | 1974 | Publications Mathématiques de l'IHÉS | Completes the proof of the Weil Conjectures
Enrico Bombieri | 1976 | Le Grand Crible dans la Théorie Analytique des Nombres | Publishes the definitive structural survey on the large sieve
H. L. Montgomery and R. C. Vaughan | 1977 | Journal of the London Mathematical Society | Proves Hilbert's inequality for Dirichlet series
Matti Jutila | 1977 | Acta Arithmetica | Develops Jutila's zero-density estimates
D. R. Heath-Brown | 1979 | Journal of the London Mathematical Society | Establishes the Heath-Brown density theorem
